propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM, 12:00 PM,3,Private room,1,,5,Cornellà de Llobregat,$54.00 ,,,"Room in Cornellà de Llobregat, Spain",2024-10-08T18:20:52.016Z,airbnb://rooms/1133249244329341335,https://www.airbnb.com/rooms/1133249244329341335?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in home,12/31/2024,1/1/2025,Strict, 3:00 PM, 11:00 AM,2,Private room,1,,4.55,El Prat de Llobregat,$55.00 ,,,"Room in El Prat de Llobregat, Spain",2024-10-08T18:20:28.198Z,airbnb://rooms/19515469,https://www.airbnb.com/rooms/19515469?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in home,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,,4.79,Barcelona,$55.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:31.307Z,airbnb://rooms/950039730069038028,https://www.airbnb.com/rooms/950039730069038028?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 3:00 PM,,3,Private room,4,2,4.14,Barcelona,$55.00 ,,,"Private room in rental unit in Barcelona, Spain",2024-10-08T18:20:32.314Z,airbnb://rooms/1177715270035772232,https://www.airbnb.com/rooms/1177715270035772232?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 2:00 pm, 11:00 AM,1,Private room,1,,4.77,Barcelona,$55.00 ,Cleaning fee,$5.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:32.891Z,airbnb://rooms/557929113555451434,https://www.airbnb.com/rooms/557929113555451434?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 12:00 pm, 11:00 AM,1,Private room,1,,4.53,Barcelona,$55.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:44.644Z,airbnb://rooms/50947511,https://www.airbnb.com/rooms/50947511?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in bed and breakfast,12/31/2024,1/1/2025,Moderate, 6:00 PM , 5:00 PM,1,Private room,1,,4.68,Barcelona,$55.00 ,Cleaning fee,$5.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:48.877Z,airbnb://rooms/1099033746321126000,https://www.airbnb.com/rooms/1099033746321126000?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate,2:00:00 PM,,2,Private room,1,,4.64,Barcelona,$55.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:51.996Z,airbnb://rooms/1094948778032934112,https://www.airbnb.com/rooms/1094948778032934112?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in casa particular,12/31/2024,1/1/2025,Strict, 3:00 PM, 11:00 AM,2,Private room,1,,4.7,Cornellá de Llobregat,$55.00 ,,,"Room in Cornellá de Llobregat, Spain",2024-10-08T18:20:52.669Z,airbnb://rooms/826074540698362065,https://www.airbnb.com/rooms/826074540698362065?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 2:00 pm, 11:00 AM,1,Private room,1,,4.8,Barcelona,$57.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:44.221Z,airbnb://rooms/867063745856775573,https://www.airbnb.com/rooms/867063745856775573?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
