PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43116,No,1,0,Apartment,0,7/1/2020 0:00
43095,Yes,7,75,Apartment,3,7/1/2020 0:00
43096,Yes,8,140,Apartment,4,7/10/2020 0:00
43099,Yes,4,75,Apartment,2,7/12/2020 0:00
43141,Yes,6,82,Apartment,3,7/17/2020 0:00
43140,Yes,4,124,Apartment,2,7/17/2020 0:00
43142,Yes,6,82,Apartment,3,7/17/2020 0:00
43143,Yes,6,67,Apartment,3,7/17/2020 0:00
43144,Yes,6,50,Apartment,3,7/17/2020 0:00
43145,Yes,7,82,Apartment,3,7/17/2020 0:00
43146,Yes,6,67,Apartment,3,7/17/2020 0:00
43147,Yes,3,71,Apartment,3,7/17/2020 0:00
43123,Yes,4,58,Apartment,2,7/25/2020 0:00
43120,Yes,4,58,Apartment,2,7/29/2020 0:00
43158,Yes,4,75,Apartment,2,8/17/2020 0:00
43166,Yes,4,47,,2,8/23/2020 0:00
43137,Yes,9,113,Apa,4,8/27/2020 0:00
43121,Yes,4,58,Apartment,2,8/29/2020 0:00
43128,Yes,3,58,Apartment,2,8/29/2020 0:00
43138,Yes,7,111,,4,9/1/2020 0:00
43138,Yes,8,111,Apartment,4,9/1/2020 0:00
43135,Yes,2,32,Apa,0,9/6/2020 0:00
43163,Yes,7,96,Apartment,3,9/7/2020 0:00
43163,Yes,8,96,Apartment,3,9/7/2020 0:00
43119,Yes,4,66,Apartment,1,9/8/2020 0:00
43164,Yes,6,108,Apartment,3,9/11/2020 0:00
43164,Yes,7,108,Apa,3,9/11/2020 0:00
43122,Yes,4,58,Apa,2,9/13/2020 0:00
43169,Yes,6,92,Apartment,3,9/19/2020 0:00
43168,Yes,4,60,Apartment,2,9/24/2020 0:00
43167,Yes,6,101,Apa,3,9/25/2020 0:00
43124,Yes,4,58,Apartment,2,9/30/2020 0:00
43117,Yes,6,58,Apartment,2,10/1/2020 0:00
43170,Yes,4,70,Apartment,2,10/2/2020 0:00
43125,Yes,4,58,Apartment,2,10/13/2020 0:00
43139,Yes,4,65,Apartment,2,10/14/2020 0:00
43134,Yes,2,40,Apartment,0,10/14/2020 0:00
43127,Yes,4,58,Apa,2,10/14/2020 0:00
43159,Yes,4,69,Apartment,2,10/15/2020 0:00
43126,Yes,4,58,Apartment,2,10/18/2020 0:00
43177,Yes,6,75,Apartment,3,10/25/2020 0:00
43172,Yes,5,90,,3,11/1/2020 0:00
43118,Yes,6,84,Apartment,2,11/10/2020 0:00
43165,Yes,4,65,Apa,3,12/1/2020 0:00
43093,Yes,6,68,Apartment,3,12/1/2020 0:00
43093,Yes,7,68,Apa,3,12/1/2020 0:00
43187,Yes,2,60,Apartment,1,12/27/2020 0:00
43176,Yes,6,77,Apa,2,2/23/2021 0:00
43204,Yes,2,89,Apartment,1,3/18/2021 0:00
43194,Yes,8,95,Apa,3,3/18/2021 0:00
43214,Yes,6,100,,3,4/7/2021 0:00
43215,Yes,5,110,Apartment,2,4/29/2021 0:00
43213,Yes,2,41,Apartment,1,5/2/2021 0:00
43212,Yes,2,41,Apartment,2,5/2/2021 0:00
43211,Yes,3,41,Apa,1,5/2/2021 0:00
43218,Yes,6,0,,3,5/17/2021 0:00
43217,Yes,9,329,Apa,3,5/17/2021 0:00
43221,Yes,7,194,Apartment,3,6/1/2021 0:00
43221,Yes,8,194,Apartment,3,6/1/2021 0:00
43225,Yes,4,51,Apartment,0,7/9/2021 0:00
43225,Yes,5,51,Apartment,0,7/9/2021 0:00
43230,Yes,7,105,,4,7/14/2021 0:00
43224,Yes,5,65,Apartment,2,7/18/2021 0:00
43233,Yes,5,50,,2,8/8/2021 0:00
43235,Yes,10,523,Apartment,5,9/1/2021 0:00
43237,Yes,4,64,Apa,2,10/16/2021 0:00
43246,Yes,6,99,Apartment,3,12/1/2021 0:00
43267,Yes,5,50,,2,2/9/2022 0:00
43276,Yes,5,64,Apartment,4,2/15/2022 0:00
43279,Yes,4,55,Apa,2,3/5/2022 0:00
43279,Yes,5,55,Apartment,2,3/5/2022 0:00
43281,Yes,2,40,Apartment,1,3/14/2022 0:00
43247,Yes,10,140,Apartment,4,3/14/2022 0:00
43288,Yes,4,45,Apartment,1,4/14/2022 0:00
43297,Yes,6,62,Apartment,2,5/5/2022 0:00
43286,Yes,2,40,,1,5/7/2022 0:00
43284,Yes,2,40,Apartment,1,5/11/2022 0:00
43285,Yes,2,40,Apa,1,5/15/2022 0:00
43303,Yes,2,47,Apartment,1,5/16/2022 0:00
43303,Yes,3,47,Apartment,1,5/16/2022 0:00
43304,Yes,6,57,,3,5/17/2022 0:00
43305,Yes,4,45,Apa,3,5/18/2022 0:00
43301,Yes,4,40,Apartment,0,5/21/2022 0:00
43296,Yes,2,55,Apartment,0,5/22/2022 0:00
43296,Yes,3,55,Apartment,0,5/22/2022 0:00
43302,Yes,5,100,,3,5/25/2022 0:00
43291,Yes,6,96,Apartment,3,5/27/2022 0:00
43311,Yes,6,85,Apartment,3,6/1/2022 0:00
43310,Yes,4,75,Apa,2,6/2/2022 0:00
43306,Yes,4,54,Apa,2,6/4/2022 0:00
43319,Yes,2,65,Apartment,1,6/7/2022 0:00
43319,Yes,3,65,,1,6/7/2022 0:00
43314,Yes,6,108,Apartment,3,6/10/2022 0:00
43312,Yes,2,40,Apa,1,6/15/2022 0:00
43320,Yes,6,103,Apartment,3,6/17/2022 0:00
43317,Yes,4,100,Apartment,2,6/17/2022 0:00
43324,Yes,4,61,Apartment,2,6/18/2022 0:00
43308,Yes,4,45,Apa,1,6/18/2022 0:00
43318,Yes,2,80,Apartment,1,7/1/2022 0:00
43316,Yes,2,100,Apartment,1,7/1/2022 0:00
43316,Yes,3,100,Apartment,1,7/1/2022 0:00
43330,Yes,2,55,,1,7/4/2022 0:00
43332,Yes,2,40,Apartment,1,7/12/2022 0:00
43333,Yes,2,40,Apartment,1,7/12/2022 0:00
43334,Yes,2,40,Apa,1,7/14/2022 0:00
43313,Yes,2,40,Apartment,1,7/19/2022 0:00
43337,Yes,2,40,,1,7/21/2022 0:00
43340,Yes,5,72,Apa,3,7/28/2022 0:00
43338,Yes,2,45,Apa,0,8/1/2022 0:00
43348,Yes,2,40,Apa,1,8/26/2022 0:00
43349,Yes,8,106,Apartment,4,9/26/2022 0:00
43361,Yes,3,35,,1,10/10/2022 0:00
43363,Yes,4,60,Apartment,2,11/13/2022 0:00
43363,Yes,5,60,Apa,2,11/13/2022 0:00
43366,Yes,3,120,Apa,1,11/28/2022 0:00
43367,Yes,4,95,Apa,2,1/17/2023 0:00
43393,Yes,4,54,Apartment,2,2/12/2023 0:00
